2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: LED1 ON | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:17 | Gesture: Idle | LED1: True | LED2: False | Brightness: 100 | Color: white
